old_identifier,new_identifier
AI_PLC1_Thanh_Trung_Bon2_Xong,PLC1_Thanh_Trung_Bon2_Xong
AI_PLC1_Thanh_Trung_Bon2_Xong_HMI,PLC1_Thanh_Trung_Bon2_Xong_HMI
AI_PLC1_Tip_Bon1_Auto_Done,PLC1_Tip_Bon1_Auto_Done
AI_PLC1_Tip_Bon1_Timer,PLC1_Tip_Bon1_Timer
AI_PLC1_Tip_Bon1_Xong_HMI,PLC1_Tip_Bon1_Xong_HMI
AI_PLC1_Tip_Bon2_Auto_Done,PLC1_Tip_Bon2_Auto_Done
AI_PLC1_Tip_Bon2_Timer,PLC1_Tip_Bon2_Timer
AI_PLC1_Tip_Bon2_Xong_HMI,PLC1_Tip_Bon2_Xong_HMI
AI_PLC1_Xa_Bon1_Xong,PLC1_Xa_Bon1_Xong
AI_PLC1_Xa_Bon2_Xong,PLC1_Xa_Bon2_Xong
AI_PLC1_Xa_Bon2_Xong_HMI,PLC1_Xa_Bon2_Xong_HMI
AI_PLC2,PLC2
AI_PLC2_Auto_Enable,PLC2_Auto_Enable
AI_PLC2_CmdSeq_New,PLC2_CmdSeq_New
AI_PLC2_EStop_Latch,PLC2_EStop_Latch
AI_PLC2_Heartbeat_Changed,PLC2_Heartbeat_Changed
AI_PLC2_Heartbeat_Last,PLC2_Heartbeat_Last
AI_PLC2_Heartbeat_Timeout,PLC2_Heartbeat_Timeout
AI_PLC2_Heartbeat_Timeout_Acc,PLC2_Heartbeat_Timeout_Acc
AI_PLC2_Khuay_Bon3_Xong,PLC2_Khuay_Bon3_Xong
AI_PLC2_Khuay_Bon3_Xong_HMI,PLC2_Khuay_Bon3_Xong_HMI
AI_PLC2_Khuay_Nghich_Bon4_Xong,PLC2_Khuay_Nghich_Bon4_Xong
AI_PLC2_Khuay_Nghich_Bon4_Xong_HMI,PLC2_Khuay_Nghich_Bon4_Xong_HMI
AI_PLC2_Khuay_Thuan_Bon4_Xong,PLC2_Khuay_Thuan_Bon4_Xong
